"","colNames_bk"
"262","m_n08_marksales_f_AND_m_n24_travel_f_AND_w_cntdays_sec3ev8_cnspkg"
"263","m_n08_marksales_f_AND_m_n15_financialserv_f_AND_m_n19_socialsector_f"
"264","m_n15_financialserv_f_AND_m_n17_hightechtelecominternet_f_AND_m_n24_travel_f"
"265","m_n12_strategy_f_AND_m_n22_publicsector_f_AND_m_n26_americas_f"
"266","m_n19_socialsector_f_AND_m_n26_americas_f_AND_w_cntdays_sec3ev8_cnspkg"
"267","m_n08_marksales_f_AND_m_n15_financialserv_f_AND_m_n22_publicsector_f"
"268","m_n12_strategy_f_AND_m_n26_americas_f_AND_w_cntdays_sec3ev8_cnspkg"
"269","m_n24_travel_f_AND_m_n27_asiapac_f_AND_w_seclvl3ev8_cnspkg_f"
"270","m_n08_marksales_f_AND_m_n17_hightechtelecominternet_f_AND_m_n29_europe_f"
"271","m_n12_strategy_f_AND_m_n24_travel_f_AND_m_n29_europe_f"
"272","m_n08_marksales_f_AND_m_n09_operations_f_AND_w_cntdays_sec3ev8_cnspkg"
"273","m_n08_marksales_f_AND_m_n12_strategy_f_AND_top_pref_consumer_retail_f"
"274","m_dayssnclast_open_AND_m_n24_travel_f_AND_m_n29_europe_f"
"275","m_n08_marksales_f_AND_m_n15_financialserv_f_AND_w_cntdays_sec3ev8_cnspkg"
"276","m_n08_marksales_f_AND_m_n12_strategy_f_AND_m_open_1mon"
"277","m_n09_operations_f_AND_m_n22_publicsector_f_AND_m_n29_europe_f"
"278","m_n08_marksales_f_AND_m_n16_healthcare_f_AND_m_n29_europe_f"
"279","m_n08_marksales_f_AND_m_n14_energyresourcematerial_f_AND_m_n19_socialsector_f"
"280","m_n22_publicsector_f_AND_m_n26_americas_f_AND_top_pref_consumer_retail_f"
